Book_Title,Author,Release_Date
Everything,Dakota Krout,06-21-23
Magic Tides & Magic Claims,Ilona Andrews,07-10-23
The Eighth Harmony,A. F. Kay,07-10-23
Defiant,Michael R. Miller,07-13-23
Too Late,Colleen Hoover,06-27-23
The Pucking Wrong Number,C.R. Jane,07-11-23
Shallow River,H. D. Carlton,07-05-23
Hunted,Suzanne Wright,07-06-23
Cartel Queen,JaQuavis Coleman,07-10-23
Woods of the Raven,Mary Calmes,06-22-23
Shadow's Seduction,Kresley Cole,07-11-23
King of Pride,Ana Huang,06-15-23
Something Unexpected,Vi Keeland,07-03-23
Double Pucked,Lauren Blakely,06-30-23
One True Loves,Taylor Jenkins Reid,06-13-23
Profit First,Mike Michalowicz,07-11-23
The Parrot and the Igloo,David Lipsky,07-11-23
Devious Obsession,S. Massery,06-29-23
Hunter's Descent,Alice Winters,07-07-23
Beyond the Story,BTS,07-09-23
